department,role,skills
CSE/IT,Python Developer,"python,oop,django,flask,fastapi,numpy,pandas,docker,kubernetes"
CSE/IT,Java Developer,"java,oop,spring,hibernate,spring boot,maven,gradle,jenkins,docker"
CSE/IT,Data Analyst,"sql,excel,python,r,statistics,powerbi,tableau"
CSE/IT,Data Scientist,"python,machine learning,pandas,numpy,tensorflow,pytorch,r,big data,cloud ml"
CSE/IT,Cloud Engineer,"aws,azure,gcp,networking,docker,kubernetes,terraform,ci cd"
CSE/IT,Cybersecurity Analyst,"network security,firewalls,siem,vulnerability assessment,ethical hacking,penetration testing,cloud security"
CSE/IT,AI ML Engineer,"python,tensorflow,pytorch,scikit learn,keras,mlops,nlp,computer vision"
CSE/IT,UI UX Developer,"html,css,javascript,responsive design,react,angular,figma,adobe xd"
CSE/IT,DevOps Engineer,"ci cd,git,docker,kubernetes,jenkins,terraform,ansible,monitoring tools"
CSE/IT,Database Administrator,"sql,database design,backup,performance tuning,nosql,mongodb,cassandra,cloud databases"
BIOTECH,Biotechnologist,"molecular biology,genetics,cell culture,experimental design,data analysis,documentation,scientific writing"
BIOTECH,Biomedical Scientist,"clinical biochemistry,immunology,hematology,laboratory diagnostics,microscopy,quality control,safety compliance"
BIOTECH,Bioprocess Engineer,"fermentation technology,bioreactor operation,process optimization,downstream processing,gmp"
BIOTECH,Microbiologist,"microbial culturing,sterilization techniques,biochemical testing,pathogen identification,analytical skills"
BIOTECH,Clinical Research Associate,"clinical trial regulations,gcp,documentation,reporting,ethical compliance,communication,data management"
BIOTECH,QC QA Analyst,"sop documentation,hplc,uv,gc,regulatory guidelines,fda,who,validation techniques,attention to detail"
BIOTECH,Bioinformatics Scientist,"python,r,genomics,proteomics,database management,statistical analysis,machine learning"
BIOTECH,Genetic Engineer,"recombinant dna technology,crispr cas9,cloning techniques,molecular diagnostics,ethical awareness"
BIOTECH,Environmental Biotechnologist,"bioremediation techniques,environmental microbiology,wastewater treatment,sustainability,field analysis"
BIOTECH,Regulatory Affairs Specialist,"regulatory guidelines,documentation submission,risk assessment,communication,industry compliance"
ECE,RTL Design Engineer,"verilog,vhdl,digital logic,microarchitecture,fpga prototyping,fsm"
ECE,Design Verification Engineer,"systemverilog,uvm,functional coverage,sva,python,perl,automation"
ECE,Physical Design Engineer,"floorplanning,placement,routing,sta,drc,lvs,cadence innovus,synopsys icc2"
ECE,DFT Engineer,"scan insertion,atpg,mbist,jtag,fault modeling"
ECE,Embedded Software Engineer,"embedded c,cpp,rtos,arm cortex m,stm32,i2c,spi,uart"
ECE,IoT Systems Architect,"zigbee,lorawan,ble,mqtt,coap,edge computing,cloud integration,sensor fusion"
ECE,Robotics Engineer,"ros2,slam,motion planning,opencv,cpp,python"
ECE,5G 6G Protocol Engineer,"3gpp standards,l1,l2,l3,ofdm,signal processing,cpp"
ECE,RF Engineer,"antenna design,hfss,ads,microwave engineering,smith chart,vna"
ECE,PCB Design and Hardware Engineer,"schematic capture,multilayer layout,signal integrity,power integrity,altium,allegro"
Mech,Design Engineer,"AutoCAD, SolidWorks, CATIA, Creo, Geometric Dimensioning & Tolerancing, product design basics, material selection, tolerance analysis"
Mech,Quality Control Engineer,"Inspection tools : Vernier, Micrometer, CMM, GD&T, ISO standards,Statistical Process Control, MS Excel, root cause analysis"
Mech,Manufacturing Engineer,"CNC programming, CAM software, lean manufacturing, Six Sigma basics, process planning, shop-floor operations, ERP systems"
Mech,Quality Assurance Engineer,"ISO 9001, documentation, auditing, corrective and preventive actions,Failure Mode and Effects Analysis), statistical quality tools"
Mech,Graduate Trainee Engineer (GTE),"Basic mechanical concepts, CAD exposure, MS Office, adaptability, communication skills, willingness to learn, teamwork"
Mech,Project Engineer,"Project scheduling (MS Project/Primavera), Bill of Materials preparation, cost estimation, vendor coordination, documentation, leadership skills"
Mech,AI and Machine Learning Engineer,"Python, MATLAB, TensorFlow,PyTorch, data analysis, predictive maintenance models, IoT integration, simulation tools"
Mech,Automotive Engineer,"Vehicle dynamics, IC engines, CAD and CAE tools, ANSYS, MATLAB Simulink, thermodynamics, emission standards, drivetrain systems"
Mech,Robotics and Automation Engineer,"PLC programming, robotics kinematics, Robot Operating System, automation tools, sensors and actuators, motion control, industrial robotics"
Mech,CAD Technicians,"AutoCAD, SolidWorks, CATIA, drafting standards, 2D and 3D modeling, assembly drawings, blueprint reading, detailing"
